Nombre,Precio_unidad,Precio_por_3,Imagen
YERBA SAQ LA HOJA X 50 UND,2375.0,2056.99,YERBA SAQ LA HOJA X 50 UND.jpg
YERBA LA HOJA 500GR,1764.0,1526.99,D_NQ_NP_672851-MLA74524704042_022024-O.jpg
DENT COLGATE HERBAL X 50GR,1298.0,1298.0,D_NQ_NP_603222-MLA77107421146_062024-O.jpg
CIF CREMA X 750,3065.0,2652.99,7791290008441-Cif-crema-750-grs-Rens.jpg
QUESO UNT CREMON TODOS X 280 G,2615.0,2299.0,diseno-sin-titulo-631-2a3ccb65742ebf0c0e16668703853263-1024-1024.png
YOGUR LS C/CER X 159 R/V E/D,1270.0,1178.0,YOGUR LS CCER X 159.jpg
CASANCREM LS 290GR DESC,3905.0,3626.0,CASANCREM LS 290GR DESC.jpg
CASANCREM LS 290GR ENT,3905.0,3626.0,CASANCREM LS 290GR ENT.jpg
FET SALAME GOGGI CANTIMPALO,9000.0,9000.0,FET SALAME GOGGI CANTIMPALO.jpg
FET BONDIOLA GOGGI,16000.0,16000.0,FET BONDIOLA GOGGI.jpg
FET JAMON COC GOGGI TRADICIONA,8000.0,8000.0,FET JAMON COC GOGGI TRADICIONAl.jpg
FET SALAME GOGGI CAL 80,8500.0,8500.0,FET SALAME GOGGI CAL 80.jpg
FET JAMON CRUDO GOGGI,16000.0,16000.0,FET JAMON CRUDO GOGGI.jpg
FET JAMON COC GOGGI NATURAL,10000.0,10000.0,FET JAMON COC GOGGI NATURAL.jpg
PANCETA GOGGI,16000.0,13200.0,PANCETA GOGGI.jpg
JAMON CRUDO GOGGI MEDIO LISTO,16000.0,13476.0,JAMON CRUDO GOGGI MEDIO LISTO.jpg
FET PERNIL GOGGI PALETA CERDO,5000.0,5000.0,FET PERNIL GOGGI PALETA CERDO.jpg
FET FIAMBRE COC GOGGI ET NEGRA,3500.0,3500.0,FET FIAMBRE COC GOGGI ET NEGRA.jpg
JAMON COC GOGGI TRADICIONAL,8000.0,6800.0,JAMON COC GOGGI TRADICIONAL.jpg
SALAME GOGGI BASTON (UNIDAD),6000.0,6000.0,SALAME GOGGI BASTON (UNIDAD).jpg
LECHE LA OVERITA,850.0,850.0,LECHE LA OVERITA.jpg
YOGUR HER-BAL ENT /DES1L,1000.0,1000.0,YOGUR HER-BAL ENT DES1L.jpg
DESODORANTE BELL X5 LT,2800.0,2800.0,DESODORANTE BELL X5 LT.jpg
YERBA SAQ TARAGUI 25UN,1200.0,1039.0,YERBA SAQ TARAGUI 25UN.jpg
LECHE LS L/V BOT X 1LT ENT,1900.0,1650.0,LECHE LS LV BOT X 1LT ENT.jpg
OBLEAS TYM 46GR,295.0,269.0,OBLEAS TYM 46GR.jpg
HIG ECO FAMILY X4 X30MTS,980.0,890.0,HIG ECO FAMILY X4 X30MTS.jpg
SEDILEE PROMOPACK X 3,2400.0,2140.0,SEDILEE PROMOPACK X 3.jpg
MOSTAZA DANICA 220GR,728.0,628.0,MOSTAZA DANICA 220GR.jpg
MANTECA TONADITA 100GR,1425.0,1220.0,MANTECA TONADITA 100GR.jpg
YERBA PROBELL X 500GR,950.0,833.0,YERBA PROBELL X 500GR.jpg
ESPONJA MAKE BAÑO GRANDE,520.0,434.0,ESPONJA MAKE BAÑO GRANDE.jpg
ESPONJA DE BAÑO MAKE CHICA,380.0,325.0,ESPONJA DE BAÑO MAKE CHICA.jpg
PEPSI 2.25LT,1710.0,1680.0,PEPSI 2.25LT.jpg
MIRINDA MANZ 2.25ML,1710.0,1640.0,MIRINDA MANZ 2.25ML.jpg
